Natural Language Query,SQL Query
Get all records from SubPermissionModuleType,SELECT * FROM SubPermissionModuleType;
"Show all Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType;"
"List all Id, Name, PermissionModuleTypeId, IsDeleted in SubPermissionModuleType where Id is 49","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE Id = '90';"
"Find Id, Name, PermissionModuleTypeId, IsDeleted in SubPermissionModuleType with Id greater than 61","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE Id > 97;"
"Get Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType where Id is in (34, 72)","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE Id IN ('44', '57');"
Find all records in SubPermissionModuleType where Id is between 33 and 91,SELECT * FROM SubPermissionModuleType WHERE Id BETWEEN '36' AND '85';
Join SubPermissionModuleType and UserClaim on Id = Id,SELECT * FROM SubPermissionModuleType JOIN Survey ON SubPermissionModuleType.Id = Survey.PermissionModuleTypeId;
Count number of records in SubPermissionModuleType,SELECT COUNT(*) FROM SubPermissionModuleType;
"Find distinct Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType","SELECT DISTINCT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType;"
Get maximum Id from SubPermissionModuleType,SELECT MAX(Id) FROM SubPermissionModuleType;
Get minimum Id from SubPermissionModuleType,SELECT MIN(Id) FROM SubPermissionModuleType;
Calculate average Id in SubPermissionModuleType,SELECT AVG(Id) FROM SubPermissionModuleType;
Get all records from SubPermissionModuleType,SELECT * FROM SubPermissionModuleType;
"Show all Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType;"
"List all Id, Name, PermissionModuleTypeId, IsDeleted in SubPermissionModuleType where Name is 16","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE Name = '67';"
"Find Id, Name, PermissionModuleTypeId, IsDeleted in SubPermissionModuleType with Name greater than 89","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE Name > 49;"
"Get Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType where Name is in (21, 51)","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE Name IN ('40', '100');"
Find all records in SubPermissionModuleType where Name is between 27 and 83,SELECT * FROM SubPermissionModuleType WHERE Name BETWEEN '20' AND '92';
Join SubPermissionModuleType and UiPageFileAttachType on Name = Id,SELECT * FROM SubPermissionModuleType JOIN Survey ON SubPermissionModuleType.Name = Survey.PermissionModuleTypeId;
Count number of records in SubPermissionModuleType,SELECT COUNT(*) FROM SubPermissionModuleType;
"Find distinct Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType","SELECT DISTINCT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType;"
Get maximum Name from SubPermissionModuleType,SELECT MAX(Name) FROM SubPermissionModuleType;
Get minimum Name from SubPermissionModuleType,SELECT MIN(Name) FROM SubPermissionModuleType;
Calculate average Name in SubPermissionModuleType,SELECT AVG(Name) FROM SubPermissionModuleType;
Get all records from SubPermissionModuleType,SELECT * FROM SubPermissionModuleType;
"Show all Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType;"
"List all Id, Name, PermissionModuleTypeId, IsDeleted in SubPermissionModuleType where PermissionModuleTypeId is 69","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE PermissionModuleTypeId = '31';"
"Find Id, Name, PermissionModuleTypeId, IsDeleted in SubPermissionModuleType with PermissionModuleTypeId greater than 84","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE PermissionModuleTypeId > 59;"
"Get Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType where PermissionModuleTypeId is in (5, 86)","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE PermissionModuleTypeId IN ('2', '85');"
Find all records in SubPermissionModuleType where PermissionModuleTypeId is between 19 and 89,SELECT * FROM SubPermissionModuleType WHERE PermissionModuleTypeId BETWEEN '45' AND '55';
Join SubPermissionModuleType and SubPermissionModuleType on PermissionModuleTypeId = Name,SELECT * FROM SubPermissionModuleType JOIN UiPageIntType ON SubPermissionModuleType.PermissionModuleTypeId = UiPageIntType.Name;
Count number of records in SubPermissionModuleType,SELECT COUNT(*) FROM SubPermissionModuleType;
"Find distinct Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType","SELECT DISTINCT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType;"
Get maximum PermissionModuleTypeId from SubPermissionModuleType,SELECT MAX(PermissionModuleTypeId) FROM SubPermissionModuleType;
Get minimum PermissionModuleTypeId from SubPermissionModuleType,SELECT MIN(PermissionModuleTypeId) FROM SubPermissionModuleType;
Calculate average PermissionModuleTypeId in SubPermissionModuleType,SELECT AVG(PermissionModuleTypeId) FROM SubPermissionModuleType;
Get all records from SubPermissionModuleType,SELECT * FROM SubPermissionModuleType;
