nl_query,sql_query
Get all records from SubPermissionModuleType,SELECT * FROM SubPermissionModuleType;
Find top 10 records from SubPermissionModuleType,SELECT TOP 10 * FROM SubPermissionModuleType;
Count total records in SubPermissionModuleType,SELECT COUNT(*) FROM SubPermissionModuleType;
Find Id from SubPermissionModuleType where Id > 50,SELECT Id FROM SubPermissionModuleType WHERE Id > 50;
Find unique values in Id from SubPermissionModuleType,SELECT DISTINCT Id FROM SubPermissionModuleType;
Find average of Id from SubPermissionModuleType,SELECT AVG(Id) FROM SubPermissionModuleType;
Find minimum of Id from SubPermissionModuleType,SELECT MIN(Id) FROM SubPermissionModuleType;
Find maximum of Id from SubPermissionModuleType,SELECT MAX(Id) FROM SubPermissionModuleType;
Find sum of Id from SubPermissionModuleType,SELECT SUM(Id) FROM SubPermissionModuleType;
Find count of Id from SubPermissionModuleType,SELECT COUNT(Id) FROM SubPermissionModuleType;
Find count of distinct Id from SubPermissionModuleType,SELECT COUNT(DISTINCT Id) FROM SubPermissionModuleType;
Find count of null values in Id from SubPermissionModuleType,SELECT COUNT(*) - COUNT(Id) FROM SubPermissionModuleType;
Find count of non-null values in Id from SubPermissionModuleType,SELECT COUNT(Id) FROM SubPermissionModuleType;
Find count of records where Id is null from SubPermissionModuleType,SELECT COUNT(*) FROM SubPermissionModuleType WHERE Id IS NULL;
Find count of records where Id is not null from SubPermissionModuleType,SELECT COUNT(*) FROM SubPermissionModuleType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from SubPermissionModuleType,SELECT COUNT(*) FROM SubPermissionModuleType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from SubPermissionModuleType,SELECT COUNT(*) FROM SubPermissionModuleType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Survey,SELECT * FROM Survey;
Find top 10 records from Survey,SELECT TOP 10 * FROM Survey;
Count total records in Survey,SELECT COUNT(*) FROM Survey;
Find Id from Survey where Id > 50,SELECT Id FROM Survey WHERE Id > 50;
Find unique values in Id from Survey,SELECT DISTINCT Id FROM Survey;
Find average of Id from Survey,SELECT AVG(Id) FROM Survey;
Find minimum of Id from Survey,SELECT MIN(Id) FROM Survey;
Find maximum of Id from Survey,SELECT MAX(Id) FROM Survey;
Find sum of Id from Survey,SELECT SUM(Id) FROM Survey;
Find count of Id from Survey,SELECT COUNT(Id) FROM Survey;
Find count of distinct Id from Survey,SELECT COUNT(DISTINCT Id) FROM Survey;
Find count of null values in Id from Survey,SELECT COUNT(*) - COUNT(Id) FROM Survey;
Find count of non-null values in Id from Survey,SELECT COUNT(Id) FROM Survey;
Find count of records where Id is null from Survey,SELECT COUNT(*) FROM Survey WHERE Id IS NULL;
Find count of records where Id is not null from Survey,SELECT COUNT(*) FROM Survey WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Survey,SELECT COUNT(*) FROM Survey WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Survey,SELECT COUNT(*) FROM Survey WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Template,SELECT * FROM Template;
Find top 10 records from Template,SELECT TOP 10 * FROM Template;
Count total records in Template,SELECT COUNT(*) FROM Template;
Find Id from Template where Id > 50,SELECT Id FROM Template WHERE Id > 50;
Find unique values in Id from Template,SELECT DISTINCT Id FROM Template;
Find average of Id from Template,SELECT AVG(Id) FROM Template;
Find minimum of Id from Template,SELECT MIN(Id) FROM Template;
Find maximum of Id from Template,SELECT MAX(Id) FROM Template;
Find sum of Id from Template,SELECT SUM(Id) FROM Template;
Find count of Id from Template,SELECT COUNT(Id) FROM Template;
Find count of distinct Id from Template,SELECT COUNT(DISTINCT Id) FROM Template;
Find count of null values in Id from Template,SELECT COUNT(*) - COUNT(Id) FROM Template;
Find count of non-null values in Id from Template,SELECT COUNT(Id) FROM Template;
Find count of records where Id is null from Template,SELECT COUNT(*) FROM Template WHERE Id IS NULL;
Find count of records where Id is not null from Template,SELECT COUNT(*) FROM Template WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Template,SELECT COUNT(*) FROM Template WHERE Id BETWEEN 10 AND 20;
